feature_id,mean_surprise,mean__neutral,delta,nonzero_rate_surprise,nonzero_rate__neutral,n_surprise,n__neutral
127526,0.6516087651252747,0.0007202890119515359,0.6508885025978088,1.0,0.006944444444444444,288,288
23498,0.6937696933746338,0.0432051382958889,0.6505645513534546,1.0,0.3715277777777778,288,288
95838,0.641117513179779,0.0025840401649475098,0.6385334730148315,1.0,0.1701388888888889,288,288
94071,1.043997883796692,0.6086485385894775,0.43534934520721436,1.0,1.0,288,288
27725,0.37100136280059814,0.004649574402719736,0.36635178327560425,1.0,0.1076388888888889,288,288
16764,0.3397604823112488,0.00043116675806231797,0.3393293023109436,1.0,0.017361111111111112,288,288
111222,0.3386213481426239,0.0003217458724975586,0.33829960227012634,1.0,0.006944444444444444,288,288
53351,0.26672202348709106,0.003560781478881836,0.26316124200820923,1.0,0.052083333333333336,288,288
123743,0.2517552375793457,0.00010618401574902236,0.25164905190467834,1.0,0.006944444444444444,288,288
83938,0.24632801115512848,0.00015619065379723907,0.24617181718349457,1.0,0.003472222222222222,288,288
92284,0.26064494252204895,0.027504367753863335,0.23314057290554047,0.9722222222222222,0.5104166666666666,288,288
61121,0.23246516287326813,0.0004206763405818492,0.23204448819160461,1.0,0.003472222222222222,288,288
55388,0.20383961498737335,1.923243144119624e-05,0.2038203775882721,1.0,0.003472222222222222,288,288
45135,0.20007938146591187,0.00042766996193677187,0.19965171813964844,1.0,0.003472222222222222,288,288
67883,0.17826144397258759,0.0005471971235238016,0.1777142435312271,0.9895833333333334,0.003472222222222222,288,288
15217,0.3046756386756897,0.14160458743572235,0.16307105123996735,1.0,0.9340277777777778,288,288
63898,0.5824059247970581,0.4283849000930786,0.1540210247039795,1.0,1.0,288,288
4087,0.1498878300189972,0.00019266869639977813,0.14969515800476074,0.9722222222222222,0.006944444444444444,288,288
65309,0.14428578317165375,0.0004403458733577281,0.14384543895721436,1.0,0.010416666666666666,288,288
100031,0.14011041820049286,0.0015146633377298713,0.13859575986862183,0.9826388888888888,0.1076388888888889,288,288
26675,0.15903721749782562,0.021527687087655067,0.1375095248222351,0.9027777777777778,0.2569444444444444,288,288
105136,0.17617161571979523,0.04522757977247238,0.13094404339790344,1.0,0.7222222222222222,288,288
55997,0.12700673937797546,9.318192496721167e-06,0.1269974261522293,1.0,0.003472222222222222,288,288
66272,0.12734204530715942,0.006530248560011387,0.12081179767847061,0.8125,0.3993055555555556,288,288
39055,0.12093266099691391,0.00021913315868005157,0.12071352452039719,1.0,0.006944444444444444,288,288
25262,0.11965342611074448,0.0018269486026838422,0.11782647669315338,0.96875,0.14930555555555555,288,288
66180,0.11637189984321594,0.0005643963813781738,0.11580750346183777,1.0,0.034722222222222224,288,288
9380,0.1119312196969986,0.000184777716640383,0.11174644529819489,1.0,0.024305555555555556,288,288
18697,0.11039847880601883,0.0008352200384251773,0.10956326127052307,0.8611111111111112,0.041666666666666664,288,288
73060,0.17979176342487335,0.07327327132225037,0.10651849210262299,1.0,0.9236111111111112,288,288
125727,0.10618826746940613,8.710225665709004e-05,0.10610116273164749,0.9305555555555556,0.003472222222222222,288,288
70318,0.10536715388298035,0.0009699579677544534,0.10439719259738922,1.0,0.1111111111111111,288,288
57138,0.1026875451207161,0.0001566376886330545,0.10253090411424637,1.0,0.017361111111111112,288,288
105984,0.0991668701171875,0.0002440810203552246,0.09892278909683228,1.0,0.027777777777777776,288,288
52232,0.09901043027639389,0.0002594722609501332,0.09875095635652542,0.9861111111111112,0.006944444444444444,288,288
29882,0.09869187325239182,0.00016244252037722617,0.09852942824363708,0.9340277777777778,0.003472222222222222,288,288
26753,0.14930661022663116,0.057399194687604904,0.09190741181373596,1.0,0.9236111111111112,288,288
20719,0.08833412081003189,1.6066762327682227e-05,0.08831805735826492,1.0,0.006944444444444444,288,288
79773,0.08600820600986481,0.00029342042398639023,0.08571478724479675,0.9965277777777778,0.013888888888888888,288,288
60,0.08398541063070297,0.000863409717567265,0.08312200009822845,0.9861111111111112,0.024305555555555556,288,288
54468,0.08256305754184723,0.00014189879584591836,0.08242116123437881,1.0,0.020833333333333332,288,288
53994,0.08208772540092468,0.00017510520410723984,0.08191262185573578,1.0,0.010416666666666666,288,288
33416,0.08166967332363129,0.0001725157053442672,0.08149715512990952,0.9756944444444444,0.020833333333333332,288,288
11153,0.08464181423187256,0.0031750863417983055,0.08146672695875168,0.9305555555555556,0.05555555555555555,288,288
1186,0.10531911253929138,0.026758696883916855,0.07856041193008423,0.9965277777777778,0.7534722222222222,288,288
63854,0.07838397473096848,0.000731481472030282,0.07765249162912369,1.0,0.09027777777777778,288,288
30156,0.07755030691623688,8.735391929803882e-06,0.07754157483577728,1.0,0.003472222222222222,288,288
12827,0.07861517369747162,0.001543452381156385,0.07707171887159348,0.9513888888888888,0.041666666666666664,288,288
17925,0.18115445971488953,0.10438299179077148,0.07677146792411804,1.0,0.8020833333333334,288,288
6727,0.07687054574489594,0.000665817002300173,0.07620473206043243,1.0,0.09027777777777778,288,288
