feature_id,delta_surprise_vs_neutral,mean_surprise,mean_afraid,mean_neutral_from_s,specificity,paired_t,subcat_coverage,epistemic_verdict,verdict
73152,0.4915961027145386,0.49677106738090515,0.5128529667854309,0.0051749697886407375,0.49203521165765984,0.0,0,narrow_or_none,conflate
85930,0.43713217973709106,0.833853006362915,0.8156059980392456,0.396720826625824,0.5055309035305414,3.068419421030042,3,partial,conflate
37706,0.3138490319252014,0.3139968514442444,0.33468925952911377,0.00014781951904296875,0.48404977705367164,0.0,0,narrow_or_none,conflate
102152,0.2941855490207672,0.2944979667663574,0.3134884238243103,0.0003124144277535379,0.4843817015353703,0.0,0,narrow_or_none,conflate
6158,0.22584952414035797,0.22618824243545532,0.2501350939273834,0.0003387199540156871,0.4748618224351171,0.0,0,narrow_or_none,conflate
111283,0.19665557146072388,0.19896867871284485,0.18810071051120758,0.002313105622306466,0.5140374574033187,0.0,0,narrow_or_none,conflate
95218,0.194032683968544,0.1966448426246643,0.1853393167257309,0.0026121586561203003,0.5147970747321152,0.0,0,narrow_or_none,conflate
22580,0.1711980402469635,0.44865882396698,0.44011390209198,0.2774607837200165,0.5048065787863047,1.1328863046253963,1,narrow_or_none,conflate
30224,0.16324876248836517,0.16329151391983032,0.17907333374023438,4.2756397306220606e-05,0.47695035890952125,0.0,0,narrow_or_none,conflate
13408,0.154062882065773,0.15416482090950012,0.13645577430725098,0.00010193718480877578,0.5304658134386782,0.0,0,narrow_or_none,conflate
41601,0.13778485357761383,0.13807031512260437,0.12765724956989288,0.00028545656823553145,0.5195915436580189,0.0,0,narrow_or_none,conflate
124364,0.1239066794514656,0.15400473773479462,0.15825694799423218,0.03009806014597416,0.4931896917982567,0.07979695256694083,0,narrow_or_none,conflate
89771,0.11621329188346863,0.11638537794351578,0.12861746549606323,0.00017208523058798164,0.4750349068389936,0.0,0,narrow_or_none,conflate
14983,0.10949810594320297,0.10973313450813293,0.10996285080909729,0.00023502773547079414,0.4994749215592758,0.0,0,narrow_or_none,conflate
126082,0.10607197135686874,0.1063479334115982,0.10370390862226486,0.00027596286963671446,0.5062913330849084,0.0,0,narrow_or_none,conflate
20759,0.096559539437294,0.09680112451314926,0.04638795554637909,0.0002415842463960871,0.6760323373861246,0.0,0,narrow_or_none,other
72120,0.09641639143228531,0.11287499964237213,0.1056932881474495,0.016458608210086823,0.5164266250934296,-0.9999999058158903,0,narrow_or_none,conflate
28622,0.09572148323059082,0.09594779461622238,0.10115660727024078,0.00022630889725405723,0.4867841961606426,0.0,0,narrow_or_none,conflate
76896,0.08980420231819153,0.08986885845661163,0.06926581263542175,6.465447950176895e-05,0.5647310740571642,0.0,0,narrow_or_none,conflate
40595,0.08922252804040909,0.08927598595619202,0.12461047619581223,5.3458745242096484e-05,0.41739700428417775,0.0,0,narrow_or_none,conflate
39757,0.08727011829614639,0.09995953738689423,0.06765416264533997,0.012689420022070408,0.5963649809215473,0.0,0,narrow_or_none,conflate
68950,0.08557966351509094,0.08589119464159012,0.08306646347045898,0.00031153360032476485,0.5083562784017215,0.0,0,narrow_or_none,conflate
86067,0.08111054450273514,0.0824904814362526,0.08182381093502045,0.001379933673888445,0.5020255890113017,0.0,0,narrow_or_none,conflate
130199,0.0805806964635849,0.08077728748321533,0.07576646655797958,0.0001965893607120961,0.5160012418043641,0.0,0,narrow_or_none,conflate
21204,0.07959933578968048,0.10833803564310074,0.10949335992336273,0.028738703578710556,0.4973458394990905,0.0,0,narrow_or_none,conflate
90972,0.07927273958921432,0.07934833317995071,0.0899437665939331,7.559193181805313e-05,0.4687038827095271,0.0,0,narrow_or_none,conflate
81119,0.07168485969305038,0.07180611044168472,0.06890752911567688,0.00012125074863433838,0.5102959483644438,0.0,0,narrow_or_none,conflate
52082,0.0686926394701004,0.06946177035570145,0.047886140644550323,0.0007691317005082965,0.5919251381510683,0.0,0,narrow_or_none,conflate
25349,0.06647754460573196,0.06652694940567017,0.0546056367456913,4.940562939736992e-05,0.5492031691569171,0.0,0,narrow_or_none,conflate
78970,0.06626037508249283,0.06627274304628372,0.07410013675689697,1.23646523206844e-05,0.47211591742855047,0.0,0,narrow_or_none,conflate
92307,0.0660947933793068,0.06623787432909012,0.07143072038888931,0.00014307763194665313,0.481136553534428,0.0,0,narrow_or_none,conflate
73143,0.06447605043649673,0.0671144425868988,0.07854709029197693,0.002638389589264989,0.4607529558936557,1.4477127371473575,0,narrow_or_none,conflate
71024,0.06403511762619019,0.06407570838928223,0.05377586558461189,4.0590763092041016e-05,0.5436937542278527,0.0,0,narrow_or_none,conflate
51250,0.061374444514513016,0.06144920364022255,0.03974415734410286,7.475746679119766e-05,0.6072394058572175,0.0,0,narrow_or_none,other
51300,0.06107020378112793,0.0625121146440506,0.1097661554813385,0.0014419092331081629,0.36285337521196104,-1.0000000587534543,0,narrow_or_none,other
23165,0.06082326918840408,0.13441599905490875,0.13427257537841797,0.07359272986650467,0.5002650338718784,0.0,0,narrow_or_none,conflate
115695,0.057230930775403976,0.057634882628917694,0.05532188341021538,0.000403950602049008,0.5102339099814587,1.2848852863606004,0,narrow_or_none,conflate
13585,0.05707168951630592,0.05721435323357582,0.05442224070429802,0.00014266371726989746,0.5125007733991072,1.0000000502264381,0,narrow_or_none,conflate
101707,0.055509261786937714,0.055568285286426544,0.0586094930768013,5.902184420847334e-05,0.4866778755475171,0.0,0,narrow_or_none,conflate
124732,0.05201699584722519,0.05226058512926102,0.04331531748175621,0.0002435876231174916,0.5467909474107282,0.0,0,narrow_or_none,conflate
123157,0.05159864202141762,0.05169171094894409,0.0420495942234993,9.307017171522602e-05,0.5514235099494806,0.0,0,narrow_or_none,conflate
60675,0.051209691911935806,0.051366228610277176,0.07159947603940964,0.0001565350394230336,0.4177246902453119,1.00000007805591,0,narrow_or_none,conflate
41006,0.05072716623544693,0.058505747467279434,0.059334225952625275,0.007778581697493792,0.49648051750900707,0.0,0,narrow_or_none,conflate
84417,0.04942311346530914,0.049549419432878494,0.04803795367479324,0.0001263055601157248,0.5077389637207023,0.0,0,narrow_or_none,conflate
30744,0.04892804101109505,0.04893363639712334,0.05657472833991051,5.596213668468408e-06,0.46378476942860036,0.0,0,narrow_or_none,conflate
24860,0.0479455403983593,0.04810871183872223,0.052244171500205994,0.0001631710329093039,0.4793906348022748,0.0,0,narrow_or_none,conflate
37242,0.047804784029722214,0.04781815782189369,0.04645703732967377,1.3374619811656885e-05,0.5072134884635154,0.0,0,narrow_or_none,conflate
117830,0.047400254756212234,0.04782617464661598,0.04594818502664566,0.0004259215493220836,0.5100079041365997,0.0,0,narrow_or_none,conflate
10514,0.0473199263215065,0.047651272267103195,0.05289041996002197,0.00033134553814306855,0.4739406834209227,0.0,0,narrow_or_none,conflate
58048,0.047155216336250305,0.047317128628492355,0.04324347525835037,0.00016191269969567657,0.5224855413074992,0.0,0,narrow_or_none,conflate
