feature_id,mean_delta,paired_t,hit_rate_overall,hit_rate_A_numeric,hit_rate_B_geographic,hit_rate_C_category,hit_rate_D_historical,hit_rate_E_physical,subcat_coverage,verdict
127526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
23498,-0.03266601637005806,-1.277816894877244,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
95838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
94071,0.9002929925918579,6.064335272787923,0.85,1.0,1.0,0.75,0.5,1.0,4,epistemic
27725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
16764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
111222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
53351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
123743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
83938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
92284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
61121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
55388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
45135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
67883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
15217,0.00867309607565403,0.25336979758102307,0.1,0.0,0.25,0.25,0.0,0.0,0,narrow_or_none
63898,0.09685058891773224,1.1011402668699983,0.6,0.5,0.25,1.0,0.75,0.5,2,narrow_or_none
4087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
65309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
100031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
26675,-0.01120605506002903,-1.0000000257625303,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
105136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
55997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
66272,0.0006164551014080644,0.999999990360887,0.05,0.0,0.0,0.0,0.25,0.0,0,narrow_or_none
39055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
25262,0.11629028618335724,2.3635371399622653,0.3,0.5,0.5,0.25,0.0,0.25,0,narrow_or_none
66180,0.01552734337747097,0.9999999418788392,0.05,0.0,0.25,0.0,0.0,0.0,0,narrow_or_none
9380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
18697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
73060,-0.17264404892921448,-2.4452009584538725,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
125727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
70318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
57138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
105984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
52232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
29882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
26753,-0.148681640625,-2.3199078870676764,0.25,0.0,0.0,0.75,0.25,0.25,1,narrow_or_none
20719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
79773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
54468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
53994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
33416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
11153,0.009857177734375,1.0000001091073145,0.05,0.0,0.0,0.25,0.0,0.0,0,narrow_or_none
1186,-0.02447509765625,-1.000000056843643,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
63854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
30156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
12827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
17925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
6727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
