feature_id,mean_delta,paired_t,hit_rate_overall,hit_rate_A_numeric,hit_rate_B_geographic,hit_rate_C_category,hit_rate_D_historical,hit_rate_E_physical,subcat_coverage,verdict
110120,0.3038085997104645,1.9620541364993178,0.55,1.0,0.25,0.25,1.0,0.25,2,narrow_or_none
26093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
4689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
128136,0.009570312686264515,0.17254094859138389,0.45,0.25,0.25,1.0,0.25,0.5,1,narrow_or_none
49061,0.0015502929454669356,1.0000000399827245,0.05,0.0,0.0,0.0,0.25,0.0,0,narrow_or_none
50719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
108069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
75406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
103338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
130721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
118105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
20787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
74718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
66039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
62780,-0.0056396485306322575,-1.0000000659906867,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
48382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
112390,0.0059967041015625,1.0567778653766708,0.1,0.0,0.0,0.0,0.5,0.0,0,narrow_or_none
118471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
36835,0.00665283203125,0.9999999784703798,0.05,0.0,0.0,0.0,0.25,0.0,0,narrow_or_none
121369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
81545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
41601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
19933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
32849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
93796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
76849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
118084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
85437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
112689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
82035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
9417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
53458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
124529,0.008593750186264515,0.6581696699191656,0.05,0.0,0.0,0.0,0.25,0.0,0,narrow_or_none
24411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
92068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
67674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
105192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
22433,-0.01217040978372097,-0.9999999839043355,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
78408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
118687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
13276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
75516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
111982,0.00800170935690403,1.0000001960798928,0.05,0.0,0.0,0.0,0.25,0.0,0,narrow_or_none
11273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
110101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
46443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
64471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
1736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
65530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
59586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
